dateRep,cases,countryterritoryCode
43930,56,AFG
43929,30,AFG
43928,38,AFG
43927,29,AFG
43926,35,AFG
43925,0,AFG
43924,43,AFG
43923,26,AFG
43922,25,AFG
43921,27,AFG
43920,8,AFG
43919,15,AFG
43918,16,AFG
43917,0,AFG
43916,33,AFG
43915,2,AFG
43914,6,AFG
43913,10,AFG
43912,0,AFG
43911,2,AFG
43910,0,AFG
43909,0,AFG
43908,1,AFG
43907,5,AFG
43906,6,AFG
43905,3,AFG
43901,3,AFG
43898,3,AFG
43892,0,AFG
43891,0,AFG
43890,0,AFG
43889,0,AFG
43888,0,AFG
43887,0,AFG
43886,1,AFG
43885,0,AFG
43884,0,AFG
43883,0,AFG
43882,0,AFG
43881,0,AFG
43880,0,AFG
43879,0,AFG
43878,0,AFG
43877,0,AFG
43876,0,AFG
43875,0,AFG
43874,0,AFG
43873,0,AFG
43872,0,AFG
43871,0,AFG
43870,0,AFG
43869,0,AFG
43868,0,AFG
43867,0,AFG
43866,0,AFG
43865,0,AFG
43864,0,AFG
43863,0,AFG
43862,0,AFG
43861,0,AFG
43860,0,AFG
43859,0,AFG
43858,0,AFG
43857,0,AFG
43856,0,AFG
43855,0,AFG
43854,0,AFG
43853,0,AFG
43852,0,AFG
43851,0,AFG
43850,0,AFG
43849,0,AFG
43848,0,AFG
43847,0,AFG
43846,0,AFG
43845,0,AFG
43844,0,AFG
43843,0,AFG
43842,0,AFG
43841,0,AFG
43840,0,AFG
43839,0,AFG
43838,0,AFG
43837,0,AFG
43836,0,AFG
43835,0,AFG
43834,0,AFG
43833,0,AFG
43832,0,AFG
43831,0,AFG
43830,0,AFG
43930,17,ALB
43929,6,ALB
43928,16,ALB
43927,28,ALB
43926,29,ALB
43925,27,ALB
43924,18,ALB
43923,16,ALB
43922,20,ALB
43921,11,ALB
43920,15,ALB
43919,11,ALB
43918,12,ALB
43917,28,ALB
43916,23,ALB
43915,23,ALB
43914,11,ALB
43913,13,ALB
43912,6,ALB
43911,0,ALB
43910,11,ALB
43909,4,ALB
43908,4,ALB
43907,9,ALB
43906,4,ALB
43905,5,ALB
43904,10,ALB
43903,12,ALB
43902,1,ALB
43901,4,ALB
43900,4,ALB
43899,2,ALB
43930,19,AND
43929,19,AND
43928,25,AND
43927,35,AND
43930,104,DZA
43929,45,DZA
43928,103,DZA
43927,20,DZA
43926,314,DZA
43925,139,DZA
43924,0,DZA
43923,263,DZA
43922,73,DZA
43921,57,DZA
43920,45,DZA
43919,104,DZA
43918,0,DZA
43917,41,DZA
43916,33,DZA
43915,42,DZA
43914,87,DZA
43913,8,DZA
43912,0,DZA
43911,12,DZA
43910,9,DZA
43909,13,DZA
43908,0,DZA
43907,12,DZA
43906,11,DZA
43905,11,DZA
43904,2,DZA
43903,4,DZA
43902,0,DZA
43899,3,DZA
43896,5,DZA
43895,7,DZA
43894,2,DZA
43892,2,DZA
43891,0,DZA
43890,0,DZA
43889,0,DZA
43888,0,DZA
43887,1,DZA
43886,0,DZA
43885,0,DZA
43884,0,DZA
43883,0,DZA
43882,0,DZA
43881,0,DZA
43880,0,DZA
43879,0,DZA
43878,0,DZA
43877,0,DZA
43876,0,DZA
43875,0,DZA
43874,0,DZA
43873,0,DZA
43872,0,DZA
43871,0,DZA
43870,0,DZA
43869,0,DZA
43868,0,DZA
43867,0,DZA
43866,0,DZA
43865,0,DZA
43864,0,DZA
43863,0,DZA
43862,0,DZA
43861,0,DZA
43860,0,DZA
43859,0,DZA
43858,0,DZA
43857,0,DZA
43856,0,DZA
43855,0,DZA
43854,0,DZA
43853,0,DZA
43852,0,DZA
43851,0,DZA
43850,0,DZA
43849,0,DZA
43848,0,DZA
43847,0,DZA
43846,0,DZA
43845,0,DZA
43844,0,DZA
43843,0,DZA
43842,0,DZA
43841,0,DZA
43840,0,DZA
43839,0,DZA
43838,0,DZA
43837,0,DZA
43836,0,DZA
43835,0,DZA
43834,0,DZA
43833,0,DZA
43832,0,DZA
43831,0,DZA
43830,0,DZA
43926,27,AND
43925,11,AND
43924,38,AND
43923,14,AND
43922,6,AND
43921,36,AND
43920,26,AND
43919,41,AND
43918,43,AND
43917,36,AND
43916,24,AND
43915,31,AND
43914,20,AND
43913,25,AND
43912,13,AND
43911,0,AND
43910,22,AND
43909,39,AND
43908,0,AND
43907,9,AND
43906,3,AND
43904,1,AND
43893,1,AND
43930,2,AGO
43929,1,AGO
43928,2,AGO
43927,4,AGO
43926,2,AGO
43925,0,AGO
43924,0,AGO
43923,1,AGO
43922,0,AGO
43921,0,AGO
43920,3,AGO
43919,0,AGO
43918,1,AGO
43917,1,AGO
43916,0,AGO
43915,0,AGO
43914,0,AGO
43913,0,AGO
43912,2,AGO
43930,0,
43929,0,
43928,0,
43927,0,
43926,0,
43925,0,
43924,1,
43923,0,
43922,0,
43921,0,
43920,0,
43919,0,
43918,0,
43917,2,
43930,0,ATG
43929,0,ATG
43928,0,ATG
43927,0,ATG
43926,0,ATG
43925,6,ATG
43924,2,ATG
43923,0,ATG
43922,0,ATG
43921,0,ATG
43920,0,ATG
43919,0,ATG
43918,0,ATG
43917,4,ATG
43916,0,ATG
43915,2,ATG
43914,0,ATG
